row,col,p,fdr
447,1377,0,0
3948,19285,0,0
2225,2958,0,0
465,1686,0,0
154,974,0,0
4297,4365,0,0
16487,29339,0,0
88,101,0,0
633,1686,0,0
4841,7401,0,0
2518,2659,0,0
155,394,0,0
898,4370,0,0
4841,12893,0,0
4814,7401,0,0
87,3963,0,0
5424,9798,0,0
920,7401,0,0
94,4814,0,0
33175,39338,0,0
59,8317,0,0
8317,14059,0,0
8682,14749,0,0
4370,5009,0,0
2226,11049,0,0
78,4841,0,0
641,6314,0,0
7591,16487,0,0
7419,23095,0,0
72,1684,0,0
8904,14546,0,0
5550,7419,0,0
104,564,0,0
439,1026,0,0
18500,19335,0,0
7419,9595,0,0
288,394,0,0
958,2419,0,0
227,958,0,0
101,974,0,0
1792,3078,0,0
4370,11194,0,0
584,11536,0,0
6159,11332,0,0
780,5873,0,0
1258,3963,0,0
97,321,0,0
466,564,0,0
4773,6159,0,0
32,37,0,0
85,97,0,0
240,394,0,0
1803,24490,0,0
6159,9956,0,0
5417,10414,0,0
547,24490,0,0
8499,9611,0,0
573,5309,0,0
14635,16319,0,0
920,4370,0,0
584,20909,0,0
5823,19335,0,0
16074,19335,0,0
12,2958,0,0
6006,22390,0,0
104,451,0,0
7510,11211,0,0
238,465,0,0
66,1801,0,0
2226,3834,0,0
94,362,0,0
10807,33175,0,0
86,447,0,0
27302,33175,0,0
26,1260,0,0
12749,16319,0,0
238,633,0,0
97,450,0,0
5873,6166,0,0
447,874,0,0
3078,3963,0,0
4928,8071,0,0
4778,4986,0,0
145,11536,0,0
4942,8071,0,0
4928,4942,0,0
2304,5748,0,0
303,4349,0,0
1264,2419,0,0
35,202,0,0
14166,18266,0,0
7572,27766,0,0
227,1264,0,0
5873,12698,0,0
97,158,0,0
4145,14749,0,0
920,16666,0,0
28,465,0,0
422,14320,0,0
2226,3329,0,0
7425,8031,0,0
7746,14649,0,0
78,920,0,0
86,394,0,0
89,97,0,0
5873,10071,0,0
3963,4843,0,0
98,1716,0,0
2283,20909,0,0
97,236,0,0
6424,12809,0,0
11536,20909,0,0
13578,27010,0,0
13578,21252,0,0
33,202,0,0
5550,23095,0,0
9595,23095,0,0
27,394,0,0
153,974,0,0
5550,9595,0,0
4984,7706,0,0
1179,1406,0,0
199,394,0,0
156,394,0,0
365,11049,0,0
958,7485,0,0
25,202,0,0
23,97,0,0
23,974,0,0
4949,10807,0,0
4949,27302,0,0
10807,20680,0,0
20680,27302,0,0
7534,22361,0,0
145,683,0,0
1530,29339,0,0
4814,20664,0,0
5929,7510,0,0
7401,14635,0,0
5929,11211,0,0
18266,33327,0,0
9795,18266,0,0
1051,18266,0,0
4841,20664,0,0
7706,25263,0,0
13578,39338,0,0
7610,7706,0,0
5332,7425,0,0
1530,7591,0,0
4841,16666,0,0
395,874,0,0
104,158,0,0
4814,9795,0,0
19038,33175,0,0
10261,17474,0,0
4370,14635,0,0
8791,12704,0,0
86,1792,0,0
7401,12749,0,0
14635,16666,0,0
898,4841,0,0
85,974,0,0
9716,58880,0,0
780,6166,0,0
78,584,0,0
177,9413,0,0
202,243,0,0
4841,5009,0,0
146,1002,0,0
234,394,0,0
3078,12129,0,0
12749,16666,0,0
780,12698,0,0
23,24,0,0
4370,12749,0,0
5152,7425,0,0
7425,11569,0,0
8168,8682,0,0
19,564,0,0
780,10071,0,0
287,394,0,0
5430,7510,0,0
447,451,0,0
6764,20979,0,0
5430,11211,0,0
898,920,0,0
322,673,0,0
4841,11194,0,0
10656,11302,0,0
920,12893,0,0
155,1792,0,0
5229,10080,0,0
920,5009,0,0
199,465,0,0
200,852,0,0
14846,43577,0,0
196,235,0,0
1716,6465,0,0
78,14635,0,0
958,14166,0,0
1260,1792,0,0
10319,29339,0,0
200,3104,0,0
561,1756,0,0
234,874,0,0
961,3057,0,0
958,7534,0,0
5332,8031,0,0
5221,18266,0,0
9798,12638,0,0
25,194,0,0
5424,12638,0,0
920,11194,0,0
78,12749,0,0
5811,7396,0,0
394,2556,0,0
958,1051,0,0
7591,10319,0,0
6008,13500,0,0
6008,16667,0,0
202,471,0,0
584,683,0,0
24,85,0,0
2142,6134,0,0
2751,10807,0,0
2751,27302,0,0
4949,6008,0,0
6008,20680,0,0
159,202,0,0
82,194,0,0
898,4814,0,0
284,4147,0,0
4843,6668,0,0
146,4349,0,0
246,27302,0,0
98,7534,0,0
246,10807,0,0
98,4841,0,0
12,19335,0,0
394,1686,0,0
10807,13578,0,0
13578,27302,0,0
4814,5009,0,0
7534,8126,0,0
5125,20166,0,0
146,6668,0,0
202,450,0,0
780,7307,0,0
19,153,0,0
8,277,0,0
1406,4027,0,0
13500,19038,0,0
16667,19038,0,0
198,365,0,0
6314,17926,0,0
22,20909,0,0
2304,19512,0,0
2752,4555,0,0
5811,6008,0,0
156,1792,0,0
3834,3963,0,0
